ID	scientificName	authorship	rank	uninomial
Coleoptera-Meruidae	Meruidae		family	Meruidae
Coleoptera-Parahygrobiidae	Parahygrobiidae		family	Parahygrobiidae
Coleoptera-Rhysodidae	Rhysodidae		family	Rhysodidae
Coleoptera-Triaplidae	Triaplidae		family	Triaplidae
Coleoptera-Tritarsusidae	Tritarsusidae		family	Tritarsusidae
Hymenoptera-Pamphilioidea-Megalodontesidae	Megalodontesidae Konow, 1897	Konow, 1897	family	Megalodontesidae
Hymenoptera-Tenthredinoidea-Blasticotomidae	Blasticotomidae Thomson, 1871	Thomson, 1871	family	Blasticotomidae
Hymenoptera-Trigonaloidea-Trigonalidae	Trigonalidae Cresson, 1887	Cresson, 1887	family	Trigonalidae
Hymenoptera-Megalyroidea-Megalyridae	Megalyridae Schletterer, 1889	Schletterer, 1889	family	Megalyridae
Hymenoptera-Stephanoidea-Stephanidae	Stephanidae Leach, 1815	Leach, 1815	family	Stephanidae
Hymenoptera-Proctotrupoidea-Austroniidae	Austroniidae Kozlov, 1975	Kozlov, 1975	family	Austroniidae
Hymenoptera-Proctotrupoidea-Peradeniidae	Peradeniidae Naumann & Masner, 1985	Naumann & Masner, 1985	family	Peradeniidae
Hymenoptera-Proctotrupoidea-Proctorenyxidae	Proctorenyxidae Lelej & Kozlov, 1999	Lelej & Kozlov, 1999	family	Proctorenyxidae
Hymenoptera-Proctotrupoidea-Roproniidae	Roproniidae Bradley, 1905	Bradley, 1905	family	Roproniidae
Hymenoptera-Diaprioidea-Ismaridae	Ismaridae Thomson, 1858	Thomson, 1858	family	Ismaridae
Hymenoptera-Diaprioidea-Monomachidae	Monomachidae Ashmead, 1902	Ashmead, 1902	family	Monomachidae
Hymenoptera-Cynipoidea-Austrocynipidae	Austrocynipidae Riek, 1971	Riek, 1971	family	Austrocynipidae
Hymenoptera-Cynipoidea-Liopteridae	Liopteridae Ashmead, 1895	Ashmead, 1895	family	Liopteridae
Hymenoptera-Chrysidoidea-Plumariidae	Plumariidae Bischoff, 1914	Bischoff, 1914	family	Plumariidae
Hymenoptera-Chrysidoidea-Scolebythidae	Scolebythidae Evans, 1963	Evans, 1963	family	Scolebythidae
Hymenoptera-Vespoidea-Bradynobaenidae	Bradynobaenidae de Saussure, 1892	de Saussure, 1892	family	Bradynobaenidae
Hymenoptera-Vespoidea-Sapygidae	Sapygidae Latreille, 1810	Latreille, 1810	family	Sapygidae
Hymenoptera-Vespoidea-Sierolomorphidae	Sierolomorphidae Krombein, 1951	Krombein, 1951	family	Sierolomorphidae
